costat,curcd,datafmt,indfmt,consol,tic,datadate,gvkey,conm,cusip,cik,exchg,fyr,at
A,USD,STD,BANK,C,SMFG,2018-03-31,10137,SUMITOMO MITSUI FINANCIAL GR,86562M209,01022837.0,11,3,1874285.583
A,USD,STD,BANK,C,HDB,2018-03-31,144535,HDFC BANK LIMITED,40415F101,01144967.0,11,3,169434.215
A,USD,STD,BANK,C,IBN,2018-03-31,223148,ICICI BANK LTD,45104G104,01103838.0,11,3,172674.097
A,USD,STD,BANK,C,MFG,2018-03-31,248136,MIZUHO FINANCIAL GROUP INC,60687Y109,01335730.0,11,3,1930586.638
A,USD,STD,BANK,C,MUFG,2018-03-31,252940,MITSUBISHI UFJ FINANCIAL GRP,606822104,00067088.0,11,3,2830228.94
A,USD,STD,BANK,C,AX,2018-06-30,162560,AXOS FINANCIAL INC,05465C100,01299709.0,11,6,9539.504
A,USD,STD,BANK,C,HTB,2018-06-30,170419,HOMETRUST BANCSHARES INC,437872104,01538263.0,11,6,3304.169
A,USD,STD,BANK,C,KRNY,2018-06-30,161853,KEARNY FINANCIAL CORP,48716P108,01617242.0,14,6,6579.874
A,USD,STD,BANK,C,TFSL,2018-09-30,176766,TFS FINANCIAL CORP,87240R107,01381668.0,14,9,14137.331
A,USD,STD,BANK,C,CFFN,2018-09-30,119414,CAPITOL FEDERAL FINL INC,14057J101,01490906.0,14,9,9449.547
A,USD,STD,BANK,C,CASH,2018-09-30,28866,PATHWARD FINANCIAL INC,59100U108,00907471.0,14,9,5835.067
A,USD,STD,BANK,C,WAFD,2018-09-30,17145,WAFD INC,938824109,00936528.0,14,9,15865.724
A,USD,STD,BANK,C,ANZGY,2018-09-30,15889,ANZ GROUP HOLDINGS LIMITED,03736N104,01947559.0,19,9,682321.069
A,USD,STD,BANK,C,WBKCY,2018-09-30,15362,WESTPAC BANKING CORP,961214707,00719245.0,19,9,636695.176
A,USD,STD,BANK,C,NABZY,2018-09-30,14802,NATIONAL AUSTRALIA BK,632525408,00833029.0,19,9,583794.562
A,USD,STD,BANK,C,NASB,2018-09-30,19124,NASB FINANCIAL INC,628968109,01059131.0,19,9,2060.361
A,USD,STD,BANK,C,PFIS,2018-12-31,66394,PEOPLES FINANCIAL SERVICES,711040105,01056943.0,14,12,2288.993
A,USD,STD,BANK,C,MPB,2018-12-31,66288,MID PENN BANCORP INC,59540G107,00879635.0,14,12,2077.981
