costat,curcd,datafmt,indfmt,consol,tic,datadate,gvkey,conm,cusip,cik,exchg,fyr,at
A,USD,STD,BANK,C,SMFG,2018-03-31,010137,SUMITOMO MITSUI FINANCIAL GR,86562M209,0001022837,11,3,1874285.5830
A,USD,STD,BANK,C,RVSB,2018-03-31,029061,RIVERVIEW BANCORP INC,769397100,0001041368,14,3,1151.5350
A,USD,STD,BANK,C,CARV,2018-03-31,030857,CARVER BANCORP INC,146875604,0001016178,19,3,693.9100
A,USD,STD,BANK,C,FRFC,2018-03-31,065003,FIRST ROBINSON FINANCIAL CP,336188107,0001035991,19,3,319.2040
A,USD,STD,BANK,C,HDB,2018-03-31,144535,HDFC BANK LIMITED,40415F101,0001144967,11,3,169434.2150
A,USD,STD,BANK,C,IBN,2018-03-31,223148,ICICI BANK LTD,45104G104,0001103838,11,3,172674.0970
A,USD,STD,BANK,C,MFG,2018-03-31,248136,MIZUHO FINANCIAL GROUP INC,60687Y109,0001335730,11,3,1930586.6380
A,USD,STD,BANK,C,MUFG,2018-03-31,252940,MITSUBISHI UFJ FINANCIAL GRP,606822104,0000067088,11,3,2830228.9400
A,USD,STD,BANK,C,NBN,2018-06-30,016689,NORTHEAST BANK,66405S100,0000811831,14,6,1157.7360
A,USD,STD,BANK,C,WVFC,2018-06-30,029300,WVS FINANCIAL CORP,929358109,0000910679,19,6,352.2880
A,USD,STD,BANK,C,SMBC,2018-06-30,030055,SOUTHERN MISSOURI BANCP INC,843380106,0000916907,14,6,1886.1150
A,USD,STD,BANK,C,PBFS,2018-06-30,034939,PIONEER BANCORP INC,723561106,0001769663,14,6,1284.1280
A,USD,STD,BANK,C,SRNN,2018-06-30,061394,SOUTHERN BANC CO INC,842233108,0000946453,19,6,94.0810
A,USD,STD,BANK,C,FFDF,2018-06-30,062575,FFD FINANCIAL CORP,30243C107,0001006177,19,6,382.1890
A,USD,STD,BANK,C,PROV,2018-06-30,063178,PROVIDENT FINANCIAL HOLDINGS,743868101,0001010470,14,6,1175.5490
A,USD,STD,BANK,C,HLFN,2018-06-30,106846,HOME LOAN FINANCIAL CORP,437183205,0001050894,19,6,205.3870
A,USD,STD,BANK,C,CBKM,2018-06-30,111640,CONSUMERS BANCORP INC,210509105,0001006830,19,6,502.6190
A,USD,STD,BANK,C,GCBC,2018-06-30,117026,GREENE COUNTY BANCORP INC,394357107,0001070524,14,6,1151.4780
A,USD,STD,BANK,C,FBPI,2018-06-30,119436,FIRST BANCORP INDIANA INC,31867T202,0001074543,19,6,434.5330
A,USD,STD,BANK,C,KRNY,2018-06-30,161853,KEARNY FINANCIAL CORP,48716P108,0001617242,14,6,6579.8740
A,USD,STD,BANK,C,AX,2018-06-30,162560,AXOS FINANCIAL INC,05465C100,0001299709,11,6,9539.5040
A,USD,STD,BANK,C,HFBL,2018-06-30,162825,HOME FEDERAL BANCORP INC/LA,43708L108,0001500375,14,6,421.6500
A,USD,STD,BANK,C,KFFB,2018-06-30,163069,KENTUCKY FIRST FEDERAL BNCRP,491292108,0001297341,14,6,318.3940
A,USD,STD,BANK,C,EQFN,2018-06-30,165513,EQUITABLE FINANCIAL CORP,29448T105,0001635626,19,6,283.5240
A,USD,STD,BANK,C,HTB,2018-06-30,170419,HOMETRUST BANCSHARES INC,437872104,0001538263,11,6,3304.1690
A,USD,STD,BANK,C,ABBB,2018-06-30,180681,AUBURN BANCORP INC,050254101,0001428802,19,6,78.6020
A,USD,STD,BANK,C,OFED,2018-06-30,185569,OCONEE FEDERAL FINANCIAL CP,675607105,0001501078,19,6,487.9590
A,USD,STD,BANK,C,NABZY,2018-09-30,014802,NATIONAL AUSTRALIA BK,632525408,0000833029,19,9,583794.5620
A,USD,STD,BANK,C,WBKCY,2018-09-30,015362,WESTPAC BANKING CORP,961214707,0000719245,19,9,636695.1760
A,USD,STD,BANK,C,ANZGY,2018-09-30,015889,ANZ GROUP HOLDINGS LIMITED,03736N104,0001947559,19,9,682321.0690
A,USD,STD,BANK,C,HARL,2018-09-30,016957,HARLEYSVILLE FINANCIAL CORP,41284E100,0001107160,19,9,768.8650
A,USD,STD,BANK,C,WAFD,2018-09-30,017145,WAFD INC,938824109,0000936528,14,9,15865.7240
A,USD,STD,BANK,C,WBBW,2018-09-30,017707,WESTBURY BANCORP INC,95727P106,0001553326,19,9,816.2970
A,USD,STD,BANK,C,NASB,2018-09-30,019124,NASB FINANCIAL INC,628968109,0001059131,19,9,2060.3610
A,USD,STD,BANK,C,CASH,2018-09-30,028866,PATHWARD FINANCIAL INC,59100U108,0000907471,14,9,5835.0670
